Ranking,Chinese Name,English Name,LONGITUDE,LATITUDE,"Academic	",Sport,Music,Campus,Teacher,Boarding Fee,School Type,Poi
37,保良局錦泰小學,Po Leung Kuk Grandmont Primary School,114.20523,22.34492,8 (8),8 (8),7.8 (7.8),8 (8),6 (6),-,資助,7.44 (7.44)
38,聖公會偉倫小學,S.K.H. Wei Lun Primary School,114.0123,22.30037,8 (8),9 (9),8.5 (8.5),10 (10),6.5 (6.5),-,資助,7.4 (7.4)
39,香港教育大學賽馬會小學,The Education University of Hong Kong Jockey Club Primary School,114.19449,22.46966,7 (7),7 (7),7.5 (7.5),7 (7),10 (10),-,資助,7.36 (7.36)
40,聖公會聖雅各小學,S.K.H. St. James' Primary School,114.17378,22.27231,8 (8),7 (7),5.3 (5.3),9 (9),6 (6),-,資助,7.35 (7.35)
41,聖公會青衣主恩小學,S.K.H. Tsing Yi Chu Yan Primary School,114.09526,22.3571,7 (7),9 (9),9 (9),7 (7),6 (6),-,資助,7.35 (7.35)
42,香港浸信會聯會小學,Hong Kong Baptist Convention Primary School,114.10031,22.3709,9 (9),9 (9),8.5 (8.5),5 (5),7 (7),-,資助,7.34 (7.34)
43,青松侯寶垣小學,Ching Chung Hau Po Woon Primary School,113.94387,22.28844,8 (8),8 (8),9.5 (9.5),8 (8),7 (7),-,資助,7.34 (7.34)
44,華德學校,Bishop Walsh Primary School,114.18763,22.33484,8 (8),6.5 (6.5),7.8 (7.8),5 (5),5 (5),-,資助,7.32 (7.32)
45,將軍澳循道衛理小學,Tseung Kwan O Methodist Primary School,114.26184,22.3053,7 (7),5 (5),9 (9),9 (9),8 (8),-,資助,7.32 (7.32)
46,藍田循道衛理小學,Lam Tin Methodist Primary School,114.23699,22.30712,5 (5),6 (6),7.8 (7.8),7 (7),8 (8),-,資助,7.31 (7.31)
47,優才（楊殷有娣）書院,G.T. (Ellen Yeung) College,114.17184,22.31777,7 (7),8 (8),8 (8),7 (7),10 (10),34100,直資,7.31 (7.31)
48,嘉諾撒聖心學校私立部,"Sacred Heart Canossian School, Private Section",114.25017,22.3052,8 (8),9 (9),8.3 (8.3),7 (7),7 (7),41000,私立,7.29 (7.29)
49,民生書院小學,Munsang College Primary School,114.15352,22.28023,7 (7),9 (9),9 (9),9 (9),5 (5),45000,私立,7.28 (7.28)
50,油蔴地天主教小學,Yaumati Catholic Primary School,114.18614,22.33273,9 (9),7 (7),8 (8),5 (5),4 (4),-,資助,7.25 (7.25)
