School Name,LONGITUDE,LATITUDE,School Type
TUNG WAH GROUP OF HOSPITALS YIU DAK CHI MEMORIAL PRIMARY SCHOOL (YUEN LONG),113.99669,22.4576,PRIMARY
SACRED HEART OF MARY CATHOLIC PRIMARY SCHOOL,114.17176,22.45717,PRIMARY
SAHK JOCKEY CLUB ELAINE FIELD SCHOOL (PRIMARY SECTION),114.17288,22.45699,PRIMARY
HONG KONG TAOIST ASSOCIATION WUN TSUEN NG LAI WO MEMORIAL SCHOOL,114.16849,22.45661,PRIMARY
TAI PO METHODIST SCHOOL,114.17519,22.45659,PRIMARY
NEW TERRITORIES WOMEN & JUVENILES WELFARE ASSOCIATION CHRISTIAN REMEMBRANCE OF GRACE PRIMARY SCHOOL,114.1714,22.45534,PRIMARY
NEW TERRITORIES WOMEN & JUVENILES WELFARE ASSOCIATION LTD. LEUNG SING TAK PRIMARY SCHOOL,114.16693,22.45455,PRIMARY
ZENITH PRIMARY SCHOOL & KINDERGARTEN,114.00219,22.45446,PRIMARY
BUDDHIST TO CHI FAT SHE YEUNG YAT LAM MEMORIAL SCHOOL (PRIMARY SECTION),114.00678,22.45433,PRIMARY
HO MING PRIMARY SCHOOL (SPONSORED BY SIK SIK YUEN),114.00631,22.45414,PRIMARY
HONG KONG AND KOWLOON KAIFONG WOMEN'S ASSOCIATION SUN FONG CHUNG PRIMARY SCHOOL,114.17747,22.45386,PRIMARY
LOK SIN TONG LEUNG KAU KUI PRIMARY SCHOOL,113.9989,22.45382,PRIMARY
THE CHURCH OF CHRIST IN CHINA FONG YUN WAH PRIMARY SCHOOL,114.00527,22.45336,PRIMARY
TAI PO GOVERNMENT PRIMARY SCHOOL,114.16007,22.45286,PRIMARY
SAM SHUI NATIVES ASSOCIATION HUEN KING WING SCHOOL,114.1762,22.45227,PRIMARY
TAI PO OLD MARKET PUBLIC SCHOOL,114.16695,22.45176,PRIMARY
CHIU YANG PRIMARY SCHOOL OF HONG KONG,114.00478,22.45171,PRIMARY
YUEN LONG LONG PING ESTATE TUNG KOON PRIMARY SCHOOL,114.0236,22.45165,PRIMARY
LAM TSUEN PUBLIC WONG FOOK LUEN MEMORIAL SCHOOL,114.1634,22.45057,PRIMARY
YUEN LONG LONG PING ESTATE WAI CHOW SCHOOL,114.0251,22.44971,PRIMARY
UMAH INTERNATIONAL PRIMARY SCHOOL,114.01868,22.44956,PRIMARY
THE ASSOCIATION OF THE DIRECTORS AND FORMER DIRECTORS OF POK OI HOSPITAL LTD. LEUNG SING TAK SCHOOL,114.02478,22.44896,PRIMARY
SUNG TAK WONG KIN SHEUNG MEMORIAL SCHOOL,114.16937,22.44892,PRIMARY
QUEEN ELIZABETH SCHOOL OLD STUDENTS' ASSOCIATION PRIMARY SCHOOL,114.00443,22.44891,PRIMARY
TAI PO OLD MARKET PUBLIC SCHOOL (PLOVER COVE),114.17037,22.44878,PRIMARY
CHUNG SING SCHOOL,114.03324,22.44858,PRIMARY
NORWEGIAN INTERNATIONAL SCHOOL,114.1704,22.44787,PRIMARY
QUEEN ELIZABETH SCHOOL OLD STUDENTS' ASSOCIATION BRANCH PRIMARY SCHOOL,114.00271,22.44742,PRIMARY
S.K.H. YUEN CHEN MAUN CHEN PRIMARY SCHOOL,114.17314,22.44736,PRIMARY
TAI PO BAPTIST PUBLIC SCHOOL,114.1756,22.44722,PRIMARY
LIONS CLUBS INTERNATIONAL HO TAK SUM PRIMARY SCHOOL,114.00116,22.44706,PRIMARY
S.K.H. LING OI PRIMARY SCHOOL,114.02153,22.44591,PRIMARY
ST. HILARY'S PRIMARY SCHOOL,114.16767,22.4459,PRIMARY
ELCHK LUTHERAN SCHOOL,114.02406,22.44549,PRIMARY
KWONG MING SCHOOL,114.02005,22.44468,PRIMARY
YUEN LONG MERCHANTS ASSOCIATION PRIMARY SCHOOL,114.0237,22.44413,PRIMARY
THE CHURCH OF CHRIST IN CHINA CHUN KWONG PRIMARY SCHOOL,114.02637,22.444,PRIMARY
YUEN LONG GOVERNMENT PRIMARY SCHOOL,114.0438,22.44267,PRIMARY
KWONG MING YING LOI SCHOOL,114.03844,22.44265,PRIMARY
AMERICAN SCHOOL HONG KONG,114.16468,22.44253,PRIMARY
PO LEUNG KUK TIN KA PING PRIMARY SCHOOL,114.16696,22.44147,PRIMARY
YAN CHAI HOSPITAL CHOI HIN TO PRIMARY SCHOOL,114.16643,22.44146,PRIMARY
CHRISTIAN & MISSIONARY ALLIANCE CHUI CHAK LAM MEMORIAL SCHOOL,114.03184,22.44128,PRIMARY
TUNG TAK SCHOOL,114.06602,22.44115,PRIMARY
