School Name,LONGITUDE,LATITUDE,School Type
YAN CHAI HOSPITAL CHIU TSANG HOK WAN PRIMARY SCHOOL,114.10272,22.35684,PRIMARY
S.K.H. TSING YI ESTATE HO CHAK WAN PRIMARY SCHOOL,114.10459,22.35562,PRIMARY
PO LEUNG KUK CASTAR PRIMARY SCHOOL,114.1066,22.35494,PRIMARY
TSUEN WAN TRADE ASSOCIATION PRIMARY SCHOOL,114.1027,22.35391,PRIMARY
T.W.G.HS KO HO NING MEMORIAL PRIMARY SCHOOL,114.12976,22.35319,PRIMARY
THE CHURCH OF CHRIST IN CHINA KEI WAI PRIMARY SCHOOL (MA WAN),114.05954,22.35104,PRIMARY
PO LEUNG KUK CHAN YAT PRIMARY SCHOOL,114.09869,22.35056,PRIMARY
THE CHURCH OF CHRIST IN CHINA KEI TSZ PRIMARY SCHOOL,114.19658,22.35013,PRIMARY
TSZ WAN SHAN ST BONAVENTURE CATHOLIC PRIMARY SCHOOL,114.20312,22.34977,PRIMARY
ISLAMIC DHARWOOD PAU MEMORIAL PRIMARY SCHOOL,114.19688,22.34966,PRIMARY
TSING YI TRADE ASSOCIATION PRIMARY SCHOOL,114.10402,22.34929,PRIMARY
TUNG WAH GROUP OF HOSPITALS CHOW YIN SUM PRIMARY SCHOOL,114.1024,22.3488,PRIMARY
PO LEUNG KUK MR. & MRS. CHAN PAK KEUNG TSING YI SCHOOL (PRIMARY SECTION),114.10354,22.34854,PRIMARY
FR. CUCCHIARA MEMORIAL SCHOOL,114.10756,22.34819,PRIMARY
HO LAP PRIMARY SCHOOL (SPONSORED BY SIK SIK YUEN),114.19829,22.34724,PRIMARY
CHO YIU CATHOLIC PRIMARY SCHOOL,114.12929,22.34593,PRIMARY
TSZ WAN SHAN CATHOLIC PRIMARY SCHOOL,114.20433,22.34585,PRIMARY
ASBURY METHODIST PRIMARY SCHOOL,114.12702,22.34578,PRIMARY
INTERNATIONAL CHRISTIAN QUALITY MUSIC SECONDARY AND PRIMARY SCHOOL,114.20546,22.34522,PRIMARY
RHENISH CHURCH GRACE SCHOOL (PRIMARY SECTION),114.20025,22.34514,PRIMARY
OUR LADY'S PRIMARY SCHOOL,114.19596,22.34497,PRIMARY
AOG ST. HILARY'S COLLEGE,114.19883,22.34493,PRIMARY
PO LEUNG KUK GRANDMONT PRIMARY SCHOOL,114.20523,22.34492,PRIMARY
ST. BONAVENTURE CATHOLIC PRIMARY SCHOOL,114.20198,22.34484,PRIMARY
BAPTIST RAINBOW PRIMARY SCHOOL,114.18975,22.34468,PRIMARY
PO LEUNG KUK CHOI KAI YAU SCHOOL,114.1484,22.34457,PRIMARY
ST PATRICK'S CATHOLIC PRIMARY SCHOOL (PO KONG VILLAGE ROAD),114.20444,22.34455,PRIMARY
HONG CHI WINIFRED MARY CHEUNG MORNINGHOPE SCHOOL (PRIMARY SECTION),114.12945,22.34415,PRIMARY
PRICE MEMORIAL CATHOLIC PRIMARY SCHOOL,114.18721,22.34393,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),114.13381,22.34338,PRIMARY
CARITAS JOCKEY CLUB LOK YAN SCHOOL (PRIMARY SECTION),114.15566,22.34238,PRIMARY
THE CHURCH OF CHRIST IN CHINA KEI CHUN PRIMARY SCHOOL,114.13674,22.34236,PRIMARY
BEACON HILL SCHOOL,114.17806,22.34227,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),114.13391,22.34157,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),114.15319,22.34147,PRIMARY
FIVE DISTRICTS BUSINESS WELFARE ASSOCIATION SCHOOL,114.15458,22.34102,PRIMARY
WONG TAI SIN GOVERNMENT PRIMARY SCH,114.19354,22.34096,PRIMARY
WONG TAI SIN CATHOLIC PRIMARY SCHOOL,114.19389,22.34095,PRIMARY
SAN WUI COMMERCIAL SOCIETY YMCA OF HONG KONG CHRISTIAN SCHOOL,114.15928,22.34057,PRIMARY
GOOD COUNSEL CATHOLIC PRIMARY SCHOOL,114.15971,22.34039,PRIMARY
CANOSSA PRIMARY SCHOOL,114.1973,22.34036,PRIMARY
CHUN TOK SCHOOL,114.207,22.34025,PRIMARY
THE MENTAL HEALTH ASSOCIATION OF HONG KONG - CORNWALL SCHOOL (PRIMARY SECTION),114.1674,22.33964,PRIMARY
SOCIETY OF BOYS' CENTRES CHAK YAN CENTRE SCHOOL (PRIMARY SECTION),114.16819,22.33961,PRIMARY
CHRISTIAN ALLIANCE INTERNATIONAL SCHOOL,114.14451,22.33949,PRIMARY
S.K.H. KEI OI PRIMARY SCHOOL,114.16077,22.33947,PRIMARY
YEW CHUNG INTERNATIONAL SCHOOL,114.17615,22.3384,PRIMARY
ST. PATRICK'S SCHOOL,114.18893,22.33837,PRIMARY
LI CHENG UK GOVERNMENT PRIMARY SCHOOL,114.16003,22.33822,PRIMARY
YEW CHUNG INTERNATIONAL SCHOOL,114.1769,22.33816,PRIMARY
PAK TIN CATHOLIC PRIMARY SCHOOL,114.1687,22.33787,PRIMARY
YEW CHUNG INTERNATIONAL SCHOOL,114.17699,22.33763,PRIMARY
CONFUCIAN TAI SHING PRIMARY SCHOOL,114.19402,22.33734,PRIMARY
S.K.H. KEI TAK PRIMARY SCHOOL,114.19446,22.33706,PRIMARY
CANOSSA PRIMARY SCHOOL (SAN PO KONG),114.20203,22.337,PRIMARY
S.K.H. KEI FOOK PRIMARY SCHOOL,114.15421,22.33649,PRIMARY
HOLY FAMILY CANOSSIAN SCHOOL (KOWLOON TONG),114.17861,22.33648,PRIMARY
HONG KONG RED CROSS MARGARET TRENCH SCHOOL (PRIMARY SECTION),114.21291,22.3361,PRIMARY
THE CHURCH OF CHRIST IN CHINA KEI WA PRIMARY SCHOOL,114.20662,22.33604,PRIMARY
KOWLOON TONG GOVERNMENT PRIMARY SCHOOL,114.17848,22.33588,PRIMARY
AUSTRALIAN INTERNATIONAL SCHOOL HONG KONG,114.17793,22.3356,PRIMARY
CARITAS PELLETIER SCHOOL (PRIMARY SECTION),114.21632,22.33558,PRIMARY
TUNG WAH GROUP OF HOSPITALS KWAN FONG KAI CHI SCHOOL (PRIMARY SECTION),114.17161,22.33542,PRIMARY
THE EVANGELICAL LUTHERAN CHURCH OF HONG KONG FAITH LUTHERAN SCHOOL,114.16525,22.33541,PRIMARY
PO LEUNG KUK MRS. CHAN NAM CHONG MEMORIAL PRIMARY SCHOOL,114.19674,22.33516,PRIMARY
BISHOP FORD MEMORIAL SCHOOL,114.19008,22.33514,PRIMARY
DELIA ENGLISH PRIMARY SCHOOL & KINDERGARTEN,114.14079,22.33501,PRIMARY
LINGNAN UNIVERSITY ALUMNI ASSOCIATION (HONG KONG) PRIMARY SCHOOL,114.16522,22.335,PRIMARY
MARY ROSE SCHOOL (PRIMARY SECTION),114.18115,22.33489,PRIMARY
BISHOP WALSH PRIMARY SCHOOL,114.18763,22.33484,PRIMARY
S.K.H. ST. CLEMENT'S PRIMARY SCHOOL,114.15367,22.33483,PRIMARY
SAVIOUR LUTHERAN SCHOOL (PRIMARY SECTION),114.16333,22.33468,PRIMARY
THE CHURCH OF CHRIST IN CHINA HEEP WOH PRIMARY SCHOOL (CHEUNG SHA WAN),114.15797,22.33462,PRIMARY
KOWLOON TONG BISHOP WALSH CATHOLIC SCHOOL,114.18624,22.3345,PRIMARY
SOCIETY OF BOYS' CENTRES - HUI CHUNG SING MEMORIAL SCHOOL (PRIMARY SECTION),114.15903,22.33443,PRIMARY
S.K.H. ST. THOMAS' PRIMARY SCHOOL,114.15837,22.33441,PRIMARY
HOI PING CHAMBER OF COMMERCE PRIMARY SCHOOL,114.15346,22.33435,PRIMARY
CHOI WAN ST JOSEPH'S PRIMARY SCHOOL,114.21229,22.33427,PRIMARY
GOOD HOPE PRIMARY SCHOOL CUM KINDERGARTEN,114.21873,22.3342,PRIMARY
PING SHEK ESTATE CATHOLIC PRIMARY SCHOOL,114.21056,22.33413,PRIMARY
FUK WING STREET GOVERNMENT PRIM SCH,114.15944,22.33406,PRIMARY
CHRISTIAN & MISSIONARY ALLIANCE SUN KEI PRIMARY SCHOOL (PING SHEK),114.21096,22.33402,PRIMARY
ST. JOHANNES COLLEGE,114.17848,22.33382,PRIMARY
"THE CHURCH OF CHRIST IN CHINA, MONGKOK CHURCH KAI OI SCHOOL (PRIMARY SECTION)",114.14532,22.33364,PRIMARY
THE EVANGELICAL LUTHERAN CHURCH OF HONG KONG FAITH LUTHERAN SCHOOL,114.16689,22.33361,PRIMARY
LAICHIKOK CATHOLIC PRIMARY SCHOOL,114.14916,22.3333,PRIMARY
SHAM SHUI PO GOVERNMENT PRIMARY SCHOOL,114.14765,22.33323,PRIMARY
NG WAH CATHOLIC PRIMARY SCHOOL,114.19478,22.33311,PRIMARY
ST. FRANCIS OF ASSISI'S CARITAS SCHOOL,114.16777,22.33289,PRIMARY
THE CHURCH OF CHRIST IN CHINA KEI SHUN SPECIAL SCHOOL (PRIMARY SECTION),114.22355,22.33289,PRIMARY
MUNSANG COLLEGE PRIMARY SCHOOL,114.18614,22.33273,PRIMARY
CLEARWATER BAY SCHOOL,114.26236,22.3326,PRIMARY
CLEARWATER BAY SCHOOL,114.26236,22.3326,PRIMARY
S.K.H. HOLY CROSS PRIMARY SCHOOL,114.20434,22.3324,PRIMARY
AMERICAN INTERNATIONAL SCHOOL (PRIMARY BRANCH),114.17841,22.33219,PRIMARY
PO YAN OBLATE PRIMARY SCHOOL,114.1925,22.33183,PRIMARY
SOCIETY OF BOYS' CENTRES SHING TAK CENTRE SCHOOL (PRIMARY SECTION),114.22149,22.33147,PRIMARY
MARYKNOLL FATHERS' SCHOOL (PRIMARY SECTION),114.1458,22.33143,PRIMARY
PO LEUNG KUK STANLEY HO SAU NAN PRIMARY SCHOOL,114.20442,22.33136,PRIMARY
HOLY FAMILY CANOSSIAN SCHOOL,114.18724,22.33118,PRIMARY
"ALLIANCE PRIMARY SCHOOL, TAI HANG TUNG",114.17014,22.33111,PRIMARY
AMERICAN INTERNATIONAL SCHOOL,114.17831,22.33111,PRIMARY
ST. JOSEPH'S ANGLO-CHINESE PRIMARY SCHOOL,114.21058,22.33098,PRIMARY
THE HONG KONG SZE YAP COMMERCIAL & INDUSTRIAL ASSOCIATION SAN WUI COMMERCIAL SOCIETY SCHOOL,114.17015,22.33079,PRIMARY
S.K.H. ST. ANDREW'S PRIMARY SCHOOL,114.14746,22.33076,PRIMARY
ST. MARGARET'S CO-EDUCATIONAL ENGLISH SECONDARY AND PRIMARY SCHOOL,114.15177,22.33076,PRIMARY
ST. FRANCIS OF ASSISI'S ENGLISH PRIMARY SCHOOL,114.16654,22.33069,PRIMARY
TAK NGA PRIMARY SCHOOL,114.17531,22.33062,PRIMARY
YING WA PRIMARY SCHOOL,114.15258,22.33042,PRIMARY
KOWLOON TRUE LIGHT SCHOOL (PRIMARY SECTION),114.17831,22.33021,PRIMARY
ALLIANCE PRIMARY SCHOOL KOWLOON TONG,114.17903,22.33017,PRIMARY
KA LING SCHOOL OF THE PRECIOUS BLOOD,114.15666,22.33016,PRIMARY
IU SHAN SCHOOL,114.18673,22.33007,PRIMARY
KOWLOON RHENISH SCHOOL,114.17553,22.32967,PRIMARY
THE CHURCH OF CHRIST IN CHINA KEI WA PRIMARY SCHOOL (KOWLOON TONG),114.18044,22.32966,PRIMARY
CONSERVATIVE BAPTIST LUI MING CHOI PRIMARY SCHOOL,114.2146,22.32943,PRIMARY
DIOCESAN PREPARATORY SCHOOL,114.179,22.3292,PRIMARY
TSUNG TSIN PRIMARY SCHOOL AND KINDERGARTEN,114.16773,22.32908,PRIMARY
CREATIVE PRIMARY SCHOOL,114.18116,22.32895,PRIMARY
S.K.H. KOWLOON BAY KEI LOK PRIMARY SCHOOL,114.20616,22.3289,PRIMARY
BISHOP PASCHANG CATHOLIC SCHOOL,114.20786,22.32868,PRIMARY
JORDAN VALLEY ST. JOSEPH'S CATHOLIC PRIMARY SCHOOL,114.21384,22.32865,PRIMARY
KINGSTON INTERNATIONAL SCHOOL,114.17818,22.32862,PRIMARY
KOWLOON TONG SCHOOL,114.17587,22.32835,PRIMARY
CARMEL LEUNG SING TAK SCHOOL,114.2254,22.32822,PRIMARY
KOWLOON BAY ST. JOHN THE BAPTIST CATHOLIC PRIMARY SCHOOL,114.21173,22.32788,PRIMARY
BUDDHIST CHI KING PRIMARY SCHOOL,114.20715,22.32776,PRIMARY
THE MISSION COVENANT CHURCH HOLM GLAD NO.2 PRIMARY SCHOOL,114.22546,22.3276,PRIMARY
MARYKNOLL CONVENT SCHOOL (PRIMARY SECTION),114.17907,22.32757,PRIMARY
LA SALLE PRIMARY SCHOOL,114.1812,22.32753,PRIMARY
SHAMSHUIPO KAIFONG WELFARE ASSOCIATION PRIMARY SCHOOL,114.16499,22.32744,PRIMARY
KLT FUNFUL ENGLISH PRIMARY SCHOOL,114.17614,22.32719,PRIMARY
CHAN'S CREATIVE SCHOOL,114.17252,22.32717,PRIMARY
THINK INTERNATIONAL SCHOOL,114.17718,22.32716,PRIMARY
LOK SIN TONG LAU TAK PRIMARY SCHOOL,114.25636,22.32673,PRIMARY
PO LEUNG KUK LUK HING TOO PRIMARY SCHOOL,114.25357,22.32647,PRIMARY
ST. ROSE OF LIMA'S SCHOOL,114.17506,22.3263,PRIMARY
HOLY TRINITY PRIMARY SCHOOL,114.18854,22.325,PRIMARY
KELLETT SCHOOL,114.20675,22.32478,PRIMARY
FRESH FISH TRADERS' SCHOOL,114.16406,22.32466,PRIMARY
MA TAU CHUNG GOVERNMENT PRIMARY SCH,114.18681,22.3246,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),114.18208,22.32446,PRIMARY
POOI TO PRIMARY SCHOOL,114.18639,22.32421,PRIMARY
"EMMANUEL PRIMARY SCHOOL, KOWLOON",114.18795,22.3241,PRIMARY
THE CHURCH OF CHRIST IN CHINA HEEP WOH PRIMARY SCHOOL,114.1721,22.32401,PRIMARY
S.K.H. TSEUNG KWAN O KEI TAK PRIMARY SCHOOL,114.25175,22.32364,PRIMARY
SHUN TAK FRATERNAL ASSOCIATION LEUNG KIT WAH PRIMARY SCHOOL,114.25632,22.32345,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),114.22699,22.32331,PRIMARY
TONG MEI ROAD GOVERNMENT PRIMARY SCHOOL,114.1657,22.32284,PRIMARY
THE CHURCH OF CHRIST IN CHINA KEI TSUN PRIMARY SCHOOL,114.16216,22.32265,PRIMARY
TSEUNG KWAN O PUI CHI SCHOOL (PRIMARY SECTION),114.25134,22.32238,PRIMARY
S.K.H. KEI WING PRIMARY SCHOOL,114.16795,22.32237,PRIMARY
JOCKEY CLUB SARAH ROE SCHOOL,114.18308,22.32231,PRIMARY
TAI KOK TSUI CATHOLIC PRIMARY SCHOOL (HOI FAN ROAD),114.15583,22.32223,PRIMARY
TAI KOK TSUI CATHOLIC PRIMARY SCHOOL,114.16217,22.3221,PRIMARY
LOK WAH CATHOLIC PRIMARY SCHOOL,114.22171,22.32177,PRIMARY
HEEP YUNN PRIMARY SCHOOL,114.18532,22.32172,PRIMARY
HAVEN OF HOPE SUNNYSIDE SCHOOL (PRIMARY SECTION),114.24441,22.32172,PRIMARY
KOWLOON JUNIOR SCHOOL,114.18182,22.32172,PRIMARY
DIOCESAN BOYS' SCHOOL,114.17321,22.32129,PRIMARY
"HONG CHI MORNINGHILL SCHOOL, TSUI LAM (PRIMARY SECTION)",114.24879,22.32105,PRIMARY
PO LEUNG KUK LAM MAN CHAN ENGLISH PRIMARY SCHOOL,114.18557,22.32089,PRIMARY
HOP YAT CHURCH SCHOOL,114.17945,22.3208,PRIMARY
FARM ROAD GOVERNMENT PRIMARY SCHOOL,114.18667,22.32079,PRIMARY
THE MISSION COVENANT CHURCH HOLM GLAD PRIMARY SCHOOL,114.23195,22.32077,PRIMARY
FIRST ASSEMBLY OF GOD PRIMARY SCHOOL AND KINDERGARTEN,114.17373,22.32062,PRIMARY
HOP YAT CHURCH SCHOOL,114.17936,22.32051,PRIMARY
KING LAM CATHOLIC PRIMARY SCHOOL,114.26025,22.32038,PRIMARY
LOK SIN TONG YEUNG CHUNG MING PRIMARY SCHOOL,114.22324,22.32029,PRIMARY
S.K.H. KEI LOK PRIMARY SCHOOL,114.21997,22.32029,PRIMARY
HHCKLA BUDDHIST WONG CHO SUM SCHOOL,114.26043,22.31999,PRIMARY
S.K.H. ST. JOHN'S TSANG SHIU TIM PRIMARY SCHOOL,114.23687,22.31991,PRIMARY
MAN KIU ASSOCIATION PRIMARY SCHOOL,114.2176,22.31986,PRIMARY
ST. EUGENE DE MAZENOD OBLATE PRIMARY SCHOOL,114.18605,22.31984,PRIMARY
HONG KONG AND MACAU LUTHERAN CHURCH PRIMARY SCHOOL,114.26652,22.31979,PRIMARY
HONG KONG TAOIST ASSOCIATION WUN TSUEN SCHOOL,114.21772,22.31948,PRIMARY
SAU MING PRIMARY SCHOOL,114.23284,22.31948,PRIMARY
TUNG WAH GROUP OF HOSPITALS WONG YEE JAR JAT MEMORIAL PRIMARY SCHOOL,114.25943,22.31932,PRIMARY
STAMFORD AMERICAN SCHOOL HONG KONG,114.17894,22.31917,PRIMARY
SHARON LUTHERAN SCHOOL,114.16506,22.31894,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),114.26957,22.31881,PRIMARY
PO LEUNG KUK MADAM CHAN WAI CHOW MEMORIAL SCHOOL,114.18794,22.31878,PRIMARY
CHAN SUI KI (LA SALLE) PRIMARY SCHOOL,114.18114,22.31877,PRIMARY
PO LEUNG KUK LAM MAN CHAN ENGLISH PRIMARY SCHOOL,114.1882,22.31867,PRIMARY
DALTON SCHOOL HONG KONG,114.15589,22.31839,PRIMARY
ELCHK HUNG HOM LUTHERAN PRIMARY SCHOOL,114.188,22.31834,PRIMARY
TSEUNG KWAN O GOVERNMENT PRI. SCHOOL,114.2634,22.31823,PRIMARY
S.K.H. GOOD SHEPHERD PRIMARY SCHOOL,114.18788,22.31811,PRIMARY
PUI CHING PRIMARY SCHOOL,114.17592,22.31804,PRIMARY
S.K.H. KEI HIN PRIMARY SCHOOL,114.21732,22.31802,PRIMARY
G.T. (ELLEN YEUNG) COLLEGE,114.17184,22.31777,PRIMARY
SAU MAU PING CATHOLIC PRIMARY SCHOOL,114.23693,22.31761,PRIMARY
VNSAA ST. HILARY'S SCHOOL,114.17232,22.31747,PRIMARY
ST. MATTHEW'S LUTHERAN SCHOOL (SAU MAU PING),114.23352,22.31677,PRIMARY
KWUN TONG GOVERNMENT PRIMARY SCHOOL,114.21811,22.31645,PRIMARY
S.K.H. HOLY CARPENTER PRIMARY SCHOOL,114.19278,22.31631,PRIMARY
OBLATE PRIMARY SCHOOL,114.19182,22.31583,PRIMARY
THE CHURCH OF CHRIST IN CHINA WANCHAI CHURCH KEI TO PRIMARY SCHOOL (KOWLOON CITY),114.18597,22.31551,PRIMARY
YAN CHAI HOSPITAL CHAN IU SENG PRIMARY SCHOOL,114.26757,22.31537,PRIMARY
ST. JOHN THE BAPTIST CATHOLIC PRIMARY SCHOOL,114.22297,22.31533,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),114.17216,22.31531,PRIMARY
PO LEUNG KUK CAMOES TAN SIU LIN PRIMARY SCHOOL,114.16532,22.31531,PRIMARY
KWUN TONG GOVERNMENT PRIMARY SCHOOL (SAU MING ROAD),114.23397,22.31526,PRIMARY
PO LEUNG KUK FUNG CHING MEMORIAL PRIMARY SCHOOL,114.26361,22.31514,PRIMARY
LING TO CATHOLIC PRIMARY SCHOOL,114.17931,22.31473,PRIMARY
TUNG WAH GROUP OF HOSPITALS LO YU CHIK PRIMARY SCHOOL,114.17122,22.31435,PRIMARY
PO LEUNG KUK ANITA L.L. CHAN (CENTENARY) SCHOOL (PRIMARY SECTION),114.19056,22.31415,PRIMARY
DELIA SCHOOL OF CANADA (KOWLOON EAST),114.227,22.3141,PRIMARY
ASSEMBLY OF GOD LEUNG SING TAK PRIMARY SCHOOL,114.26472,22.31399,PRIMARY
CHI YUN SCHOOL (PRIMARY SECTION),114.19099,22.31359,PRIMARY
YAUMATI CATHOLIC PRIMARY SCHOOL (HOI WANG ROAD),114.16409,22.31341,PRIMARY
POK OI HOSPITAL CHAN KWOK WAI PRIMARY SCHOOL,114.2581,22.31307,PRIMARY
OUR LADY OF CHINA CATHOLIC PRIMARY SCHOOL,114.23043,22.31307,PRIMARY
KOWLOON WOMEN'S WELFARE CLUB LI PING MEMORIAL SCHOOL,114.17551,22.3129,PRIMARY
CHRISTIAN & MISSIONARY ALLIANCE SUN KEI PRIMARY SCHOOL,114.25777,22.31266,PRIMARY
THE CHURCH OF CHRIST IN CHINA KEI FAAT PRIMARY SCHOOL,114.22751,22.31245,PRIMARY
ST. EDWARD'S CATHOLIC PRIMARY SCHOOL,114.23766,22.31178,PRIMARY
YAUMATI CATHOLIC PRIMARY SCHOOL,114.16796,22.31139,PRIMARY
THE CHURCH OF CHRIST IN CHINA WANCHAI CHURCH KEI TO PRIMARY SCHOOL,114.16887,22.31132,PRIMARY
TUNG KOON DISTRICT SOCIETY FONG SHU CHUEN SCHOOL,114.16857,22.31129,PRIMARY
S.K.H. TAK TIN LEE SHIU KEUNG PRIMARY SCHOOL,114.23704,22.31089,PRIMARY
S.K.H. ST. TIMOTHY'S PRIMARY SCHOOL,114.1869,22.31073,PRIMARY
HOLY ANGELS CANOSSIAN SCHOOL,114.18628,22.31061,PRIMARY
CHI LIN BUDDHIST PRIMARY SCHOOL,114.26094,22.31044,PRIMARY
YAUMATI KAIFONG ASSOCIATION SCHOOL,114.17168,22.31022,PRIMARY
YAN OI TONG TIN KA PING PRIMARY SCHOOL,114.26113,22.30996,PRIMARY
PO LEUNG KUK WONG WING SHU PRIMARY SCHOOL,114.2571,22.30938,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),114.17399,22.30933,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),114.16915,22.30927,PRIMARY
"NORD ANGLIA INTERNATIONAL SCHOOL, HONG KONG",114.2379,22.30922,PRIMARY
METHODIST SCHOOL,114.17677,22.30854,PRIMARY
TSEUNG KWAN O CATHOLIC PRIMARY SCHOOL,114.25751,22.30843,PRIMARY
DISCOVERY MIND PRIMARY SCHOOL,114.01658,22.3081,PRIMARY
DISCOVERY MONTESSORI ACADEMY,114.01658,22.3081,PRIMARY
AOI PUI SCHOOL,114.18594,22.30795,PRIMARY
HONG KONG AND MACAU LUTHERAN CHURCH MING TAO PRIMARY SCHOOL,114.25357,22.30764,PRIMARY
HONG KONG RED CROSS PRINCESS ALEXANDRA SCHOOL (PRIMARY SECTION),114.23054,22.30743,PRIMARY
HONG KONG ADVENTIST ACADEMY,114.28591,22.30733,PRIMARY
THE HONG KONG CHINESE CHRISTIAN CHURCHES UNION LOGOS ACADEMY,114.25128,22.30727,PRIMARY
LAM TIN METHODIST PRIMARY SCHOOL,114.23699,22.30712,PRIMARY
DIOCESAN GIRLS' JUNIOR SCHOOL,114.17285,22.30705,PRIMARY
S.K.H. LEE SHIU KEUNG PRIMARY SCHOOL,114.23711,22.30684,PRIMARY
JORDAN ROAD GOVERNMENT PRIMARY SCHOOL,114.16888,22.30619,PRIMARY
TSEUNG KWAN O METHODIST PRIMARY SCHOOL,114.26184,22.3053,PRIMARY
G.T. (ELLEN YEUNG) COLLEGE,114.25017,22.3052,PRIMARY
S.K.H. FUNG KEI PRIMARY SCHOOL,114.19139,22.30478,PRIMARY
S.K.H. FUNG KEI MILLENNIUM PRIMARY SCHOOL,114.19126,22.30443,PRIMARY
ST ANDREW'S CATHOLIC PRIMARY SCHOOL,114.24877,22.30428,PRIMARY
EVANGEL COLLEGE,114.26233,22.30411,PRIMARY
DISCOVERY COLLEGE,114.01402,22.30395,PRIMARY
TAK SUN SCHOOL,114.17232,22.30389,PRIMARY
LYC'EE FRANCAIS INTERNATIONAL (FRENCH INTERNATIONAL SCHOOL),114.25765,22.30389,PRIMARY
GRANTHAM COLLEGE OF EDUCATION PAST STUDENTS' ASSOCIATION WHAMPOA PRIMARY SCHOOL,114.19149,22.30331,PRIMARY
"ALLIANCE PRIMARY SCHOOL, WHAMPOA",114.19094,22.3032,PRIMARY
MOUNT KELLY SCHOOL HONG KONG,114.17517,22.30308,PRIMARY
ST. MARY'S CANOSSIAN SCHOOL,114.1756,22.30292,PRIMARY
MA TAU CHUNG GOVERNMENT PRIMARY SCHOOL (HUNG HOM BAY),114.18789,22.30238,PRIMARY
ST. ANTONIUS PRIMARY SCHOOL,114.23686,22.30162,PRIMARY
CANTON ROAD GOVERNMENT PRIMARY SCHOOL,114.16838,22.30128,PRIMARY
DISCOVERY BAY INTERNATIONAL SCHOOL,114.01253,22.30126,PRIMARY
HONG KONG TAOIST ASSOCIATION THE YUEN YUEN INSTITUTE CHAN LUI CHUNG TAK MEMORIAL SCHOOL,114.23981,22.30052,PRIMARY
S.K.H. WEI LUN PRIMARY SCHOOL,114.0123,22.30037,PRIMARY
FUKIEN SECONDARY SCHOOL AFFILIATED SCHOOL,114.23761,22.30019,PRIMARY
S.K.H. YAUTONG KEI HIN PRIMARY SCHOOL,114.23531,22.30005,PRIMARY
THE CHURCH OF CHRIST IN CHINA KEI FAAT PRIMARY SCHOOL (YAU TONG),114.23402,22.29973,PRIMARY
EVANGELIZE CHINA FELLOWSHIP HOLY WORD SCHOOL (PRIMARY SECTION),114.23861,22.29921,PRIMARY
SHREWSBURY INTERNATIONAL SCHOOL HONG KONG,114.27385,22.29785,PRIMARY
HO YU COLLEGE AND PRIMARY SCHOOL (SPONSORED BY SIK SIK YUEN),113.95035,22.29344,PRIMARY
DISCOVERY MIND PRIMARY SCHOOL,113.94267,22.29269,PRIMARY
CHAN'S CREATIVE SCHOOL (HONG KONG ISLAND),114.20264,22.29218,PRIMARY
GRACE CHRISTIAN ACADEMY,114.19985,22.29213,PRIMARY
PO LEUNG KUK YU LEE MO FAN MEMORIAL SCHOOL (PRIMARY SECTION),114.195,22.29182,PRIMARY
"CHINESE METHODIST SCHOOL, TANNER HILL",114.20515,22.29071,PRIMARY
CHINESE METHODIST SCHOOL (NORTH POINT),114.20746,22.2905,PRIMARY
LING LIANG CHURCH SAU TAK PRIMARY SCHOOL,113.94535,22.29028,PRIMARY
PUN U ASSOCIATION WAH YAN PRIMARY SCHOOL,114.20502,22.28991,PRIMARY
NORTH POINT METHODIST PRIMARY SCHOOL,114.20532,22.28954,PRIMARY
KIANGSU & CHEKIANG PRIMARY SCHOOL,114.19817,22.28906,PRIMARY
KIANGSU & CHEKIANG PRIMARY SCHOOL,114.19817,22.28906,PRIMARY
NORTH POINT GOVERNMENT PRIMARY SCHOOL,114.20956,22.28894,PRIMARY
CANOSSA SCHOOL (HONG KONG),114.21127,22.28887,PRIMARY
CHING CHUNG HAU PO WOON PRIMARY SCHOOL,113.94387,22.28844,PRIMARY
PO ON COMMERCIAL ASSOCIATION WAN HO KAN PRIMARY SCHOOL,113.94361,22.28818,PRIMARY
S.K.H. ST. MICHAEL'S PRIMARY SCHOOL,114.19563,22.28794,PRIMARY
KIANGSU & CHEKIANG PRIMARY SCHOOL,114.20076,22.28702,PRIMARY
CARITAS LOK YI SCHOOL (PRIMARY SECTION),114.22224,22.28695,PRIMARY
ST. LOUIS SCHOOL (PRIMARY SECTION),114.13756,22.286,PRIMARY
S.K.H. ST. MATTHEW'S PRIMARY SCHOOL,114.14668,22.2858,PRIMARY
DELIA SCHOOL OF CANADA,114.21827,22.28564,PRIMARY
